SiteName,State,Address,City,Acres,DNI,EstPVCap
HYDRAULIC REPAIR & DESIGN,WA,6942 South 196th St.,KENT,,3.33,
KING AUTO & TRUCK WRECKING,WA,South Park Area Seattle,SEATTLE,,3.5,
MCFARLAND PROPERTY,WA,SW Edmunds and Pudget Way SW,SEATTLE,,3.41,
NORTHWEST COOPERAGE,WA,7152 1st Avenue South,SEATTLE,,3.41,
NORTHWEST METAL PRODUCTS CO.,WA,401 North 4th Avenue,KENT,,3.15,
NW ENVIROSERVICE 1ST AVENUE SOUTH SPILL,WA,8105-1st Avenue South,SEATTLE,,3.41,
ORILLIA INDUSTRIAL DISTRICT II,WA,SE corner of E. Valley Highway & S. 180th ST,KENT,,3.33,
SUN CHEMICAL/INK MANUFACTURER (KENT),WA,8810 S. 212th Street,KENT,,3.33,
THORDARSON PROPERTY,WA,2200 W. Emerson Place,SEATTLE,,3.5,
TSUBODA INDUSTRIAL SUPPLY,WA,1837 15th Avenue West,SEATTLE,,3.5,
CHEMCENTRAL SOLVENTS,WA,7601 S. 190th,KENT,,3.33,
DELTA TRAIN CORP.,WA,209 41Street SE,AUBURN,,3.04,
ELECTROFINISHING COMPANY,WA,510 A StreetSE,AUBURN,,3.15,
FIELDS CORPORATION,WA,710 S. Railroad Avenue,KENT,,3.15,
KELLY MOORE/PRESERVATIVE PLANT,WA,5410 Airport Way South,SEATTLE,,3.41,
LONG PAINTING,WA,8025 10th Avenue South,SEATTLE,,3.41,
MARINE VACUUM SERVICE (MARVAC),WA,1516 south graham Street,SEATTLE,,3.41,
MID-FORK PROJECT (BEACH PROPERTY),WA,5316 SE 116th Street,NORTH BEND,,3.12,
MILL CREEK SITE,WA,West Valley Hwy. & S. 196th Street,KENT,,3.33,
POWER SYSTEM SERVICES,WA,1031 North 4th Ave.,KENT,,3.15,
"RHONE-POULENC/RHODIA, INC./NORTHWEST CONTAINER",WA,9229 East Marginal Way South,SEATTLE,,3.51,
BB PARTNERSHIP PROPERTIES,WA,South 262nd St. & 78th Avenue South,KENT,,3.15,
ISLAND AUTO WRECKING,WA,12218 SW Cementary Rd,VASHON ISLAND,,5.36,
MONSTER AUTO WRECKING,WA,13301 Martin Luther King Jr. Way South,SEATTLE,,3.33,
COVROX,WA,27320 162nd Avenue SE,KENT,,3.0,
SCENIC BOUND TOURS,WA,300 South Orcas Street,SEATTLE,,3.41,
SEATTLE SOLSTICE,WA,7506 5th Avenue South,SEATTLE,,3.41,
CITY OF BOTHELL DRY CLEANER SITE,WA,"near City Hall, Downtown Bothell",BOTHELL,,3.44,
BSNF SOUTH SEATTLE INTERMODAL HUB,WA,12200 51st Place SE and 5100 S. 122nd Street,TUKWILA,,3.33,
CITY OF RENTON WETLAND,WA,7400 SW 43rd Street,RENTON,,3.33,
BROOKS PROPERTY,WA,7416 S. 204th St,KENT,,3.33,
BARNIER PARCELS,WA,21200 and 22103 76th Avenue South,KENT,,3.33,
LA TERRA LIMITED PARCEL,WA,No address - located N of Emerald Downs Race track,AUBURN,,3.15,
P-3/PARKWAY LLC PROPERTY,WA,1005 C St. NW,AUBURN,,3.15,
FISHER MILLS PROPERTY,WA,3235 16th Avenue SW,SEATTLE,,3.41,
PUGET SOUND INDUSTRY SERVICES INC.,WA,3407 Airport Way South,SEATTLE,,3.41,
BILL'S TIRES,WA,4910 NW Leary Way,SEATTLE,,3.5,
IRISH FOUNDRY PROPERTY,WA,45 South Spokane Street,SEATTLE,,3.41,
HAMM CREEK BASIN PROPERTY,WA,South 96th Street,SEATTLE,,3.41,
RAINER COURT PROPERTY,WA,Rainer Valley,SEATTLE,,3.5,
ADVANCED ELECTROPLATING INC.,WA,9585 8th Ave.,SOUTH SEATTLE,,3.41,
NORTH COAST CHEMICAL PROPERTY,WA,6300 17th Avenue South,SEATTLE,2.0,3.41,
MARALCO PROPERTY,WA,7730 South 202nd Street,KENT,12.0,3.33,
LANDFILL,WA,no street address,EVERETT,70.0,3.17,
SIMPSON SITE,WA,no address,EVERETT,217.0,3.2,
QUENDALL TERMINALS,WA,4503 Lake Washington Blvd. N.,RENTON,23.0,3.51,3.83
JOHNS PRAIRIE INDUSTRIAL PARK,WA,unknown,SHELTON,408.0,3.18,
RIVER FRONT PROPERTIES,WA,"Summit Blvd, Cedar St, Monroe St, Bridge St",SPOKANE,77.0,4.78,12.83
CONVENTION CENTER,WA,NA,SPOKANE,77.0,4.78,12.83
SUMMIT / METROPOLITAN MORTGAGE,WA,NA,SPOKANE,,4.78,
JELD-WEN,WA,115 N Sycamore Street,SPOKANE,2.0,4.8,0.38
COURTLAND PLACE AT RAINIER COURT,WA,3621 33rd Ave South,SEATTLE,1.0,3.51,
BRLF-06: AMERICAN PLATING,WA,2130 East D Street,TACOMA,2.0,3.33,
THEA FOSS WATERWAY NORTH,WA,400 9th St S,TACOMA,24.0,3.33,
THEA FOSS - MUNICIPAL DOCK BUILDING,WA,15th and 21st Streets,TACOMA,,3.33,
THEA FOSS - PUBLIC ESPLANADE,WA,15th and 21st Streets,TACOMA,,3.33,
THEA FOSS - MARINA AND PIERS,WA,15th and 21st Streets,TACOMA,,3.33,
THEA FOSS - INTERNATIONAL GLASS MUSEUM,WA,15th and 21st Streets,TACOMA,,3.33,
THEA FOSS - ALBERS MILL WAREHOUSE,WA,15th and 21st Streets,TACOMA,,3.33,
OLIVINE PROPERTY,WA,1191 Roeder Avenue,BELLINGHAM,5.0,3.28,
GOLDEN PROPERTY,WA,1101 Roeder Avenue,BELLINGHAM,13.0,3.28,
CHEVRON (FORMER,WA,1020 C Street,BELLINGHAM,2.0,3.28,
COLONY WHARF,WA,16120 Fork Teanaway Rd N,BELLINGHAM,1.0,4.73,
HILTON MARINA,WA,1100 Hilton Avenue,BELLINGHAM,1.0,3.28,
ROEDER AVENUE LANDFILL,WA,1000 F Street,BELLINGHAM,20.0,3.28,
DUWAMISH INDUSTRIAL CORRIDOR,WA,16120 Fork Teanaway Rd N,CLE ELUM,11000.0,4.73,1833.33
REICHHOLD PROPERTY,WA,400 9th St S,TACOMA,52.0,3.33,
NESPELEM AGENCY HQ,WA,PO Box - Highway 155 Agency Headquarters,NESPELEM,92.0,4.81,15.33
INCHELIUM SUB-AGENCY PROPERTY,WA,301 Hall Creek Road,INCHELIUM,20.0,4.72,
BREMER LUMBER MILL/SINCLAIR INLET,WA,"3650 State Route 16, Gorst",PORT ORCHARD,4.0,3.21,
GORST PROPERTY,WA,16120 Fork Teanaway Rd N,CLE ELUM,,4.73,
EVERGREEN AUTO WRECKING/SINCLAIR INLET,WA,"SR3 and Railroad Bridge, Gorst",PORT ORCHARD,3.0,3.21,
POPE MILL/SINCLAIR INLET,WA,"SR3 and Railroad Bridge, Gorst",PORT ORCHARD,,3.21,
PORT ORCHARD CONCRETE BATCH PLANT/SINCLAIR SUMMARY,WA,"3550 State Route 16, Gorst",PORT ORCHARD,6.0,3.21,
FORMER SASH AND DOOR,WA,600 Holly Street,BELLINGHAM,,3.28,
HOMEPORT,WA,707 Astor Street,BELLINGHAM,,3.28,
NW RECYCLING/PARBERRY,WA,in the vicinity of E and Astor-Bancroft Street,BELLINGHAM,,3.28,
HOLLY ST. LANDFILL,WA,1301-1399 C Street,BELLINGHAM,42.0,3.28,
WHATCOM CREEK ESTUARY,WA,1600 State St N,BELLINGHAM,,3.28,
MARITIME HERITAGE PARK,WA,Holly Street,BELLINGHAM,,3.28,
A-1 RENTALS,WA,601 W. Holly Street,BELLINGHAM,,3.28,
MARITIME HERITAGE CENTER/FISH HATCHERY,WA,C Street,BELLINGHAM,,3.28,
MONTESANO FARM AND HOME,WA,412 Main Street,MONTESANO,1.0,2.88,
FRED DILL'S PROPERTY - BUENA,WA,701 Buena Loop Road,BUENA,0.0,5.29,
BRLF07 FORMER PALOUSE PRODUCERS SITE,WA,335 East Main Street,PALOUSE,0.0,4.75,
FORMER CUSTOM PLYWOOD,WA,3311 V Place,ANACORTES,34.0,3.09,
ROBY'S SERVICES OF BUENA,WA,Main street and Burr street,BUENA,0.0,5.29,
GOLD NUGGETT MARKET,WA,"1041 Buena Road, Zillah Buena",BUENA,0.0,5.29,
BRLF-15 HILLYARD RAILYARDS,WA,4101 E Queen Avenue,SPOKANE,900.0,4.8,150.0
BRLF-05 - HEARTHSTONE,WA,6860 Woodlawn Avenue NE,SEATTLE,0.0,3.5,
BRLF-16 REARDAN CITY HALL,WA,115 East Broadway,REARDAN,0.0,4.82,
BRLF-17 BELLINGHAM LOG POND,WA,13849 Trumpeter Lane,MT VERNON,72.0,3.02,
BRLF-13 TFWDA SITES 8 N 9,WA,XXX Dock Street,TACOMA,2.0,3.33,
BRLF-01 SPRAGUE GARAGE,WA,103 West 1st Street,SPRAGUE,0.0,5.12,
BRLF-02: RIVERFRONT PROPERTIES (KENDALL YARDS),WA,"Bounded by Summit Blvd, Cedar St, Monroe St,",SPOKANE,77.0,4.78,12.83
BRLF 08 - RAINIER COURT III,WA,3605 34th Avenue South,SEATTLE,1.0,3.51,
"TURNER & SONS SHELL STATION, TURNER SHELL STATION, PEHL OIL COMPANY",WA,520 5th Street,RAYMOND,0.0,2.88,
RIVER AVENUE CITY PROPERTY,WA,245 South River Avenue,BUCKLEY,0.0,2.95,
JIMMYCOMELATELY/SEQUIM BAY LOG YARD,WA,56 Old Blyn Highway,SEQUIM,82.0,3.23,
FORMER POPE LUMBER MILL,WA,State Highway 16,PORT ORCHARD,2.0,3.21,
FORMER JAPANESE AUTO WRECKING SITE,WA,7777 South 272nd Street,KENT,6.0,3.15,
CITY OF AUBURN (CRITES-HUFF PROPERTY),WA,12 First Street and 101 South Division,AUBURN,1.0,3.15,
BB-7 PROPERTY (FORMERLY JAPANESE AUTO),WA,7776 S. 262nd St & 25929 78th Ave. South,KENT,11.0,3.15,
FORMER LLOYD'S ROCKET GAS STATION,WA,110 Boren Avenue,SEATTLE,0.0,3.5,
HARRINGTON-BEALL GREENHOUSES,WA,18531 Beall Road SW,VASHON ISLAND,17.0,3.32,
SOUTH COVE PROPERTY,WA,N/A,NORTH BEND,50.0,3.12,
ELLISPORT CREEK GREENSPACE PROJECT,WA,20803 Chautauqua Beach Rd SW,VASHON ISLAND,3.0,3.32,
RAINIER COURT PHASE II THE DAKOTA,WA,3634-33rd Ave South,SEATTLE,2.0,3.51,0.35
LITTLE SQUALICUM,WA,604 Marine Drive,BELLINGHAM,21.0,3.3,
WSDOT POTLATCH MAINTENANCE FACILITY,WA,unknown,SKOKOMISH INDIAN RESERVATION,15.0,3.35,
NINTH AND JEFFERSON STREET BUILDING,WA,925 James Street,SEATTLE,0.0,3.5,
SHAUB-ELLISON PARCEL,WA,1902 Pacific Avenue,TACOMA,0.0,3.33,
